[2026-07-14 18:23:48] [INFO    ] discord.client: logging in using static token
[2026-07-14 18:23:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-07-14 18:23:49] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-07-14 18:23:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1526248697057382491', 'username': 'かんじ先生', 'avatar': None, 'discriminator': '6081', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-07-14 18:23:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-07-14 18:23:49] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-07-14 18:23:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1526248697057382491', 'name': 'かんじ先生', 'icon': None, 'description': '', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot': {'id': '1526248697057382491', 'username': 'かんじ先生', 'avatar': None, 'discriminator': '6081', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '4a0a137816ba715d47e8ed2af19e6b755962f193ad1741a95eed2d84f1739732', 'flags': 8945664, 'flags_new': '8945664', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '744817248807682089', 'username': 'dzaki_941', 'avatar': 'cda0c0e6d1555efdf8d3cf25ad9dc7df', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 1448291, 'global_name': 'ザッキー', 'avatar_decoration_data': {'asset': 'a_492f6b54b761c0a14d9dbc9c98aaa0f5', 'sku_id': '1245087968759382207', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1382845914225442886', 'asset': 'nameplates/nameplates_v3/bonsai/', 'label': 'COLLECTIBLES_NAMEPLATES_VOL_3_BONSAI_A11Y', 'palette': 'bubble_gum'}}, 'display_name_styles': None, 'banner_color': '#161963', 'clan': {'identity_guild_id': '831479923180830742', 'identity_enabled': True, 'tag': 'NAP', 'badge': 'bbf90ac031aeb0b6e256458c391d631c'}, 'primary_guild': {'identity_guild_id': '831479923180830742', 'identity_enabled': True, 'tag': 'NAP', 'badge': 'bbf90ac031aeb0b6e256458c391d631c'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 480, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-07-14 18:23:50] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1526248697057382491/commands with [{"name":"ping","description":"Ping the bot to check if it's responsive.","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"latency","description":"Check the bot's Latency.","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-07-14 18:23:50] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-07-14 18:23:50] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1526248697057382491/commands has received [{'id': '1526547220521025606', 'application_id': '1526248697057382491', 'version': '1526547220521025607', 'default_member_permissions': None, 'type': 1, 'name': 'ping', 'name_localizations': None, 'description': "Ping the bot to check if it's responsive.", 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1526549016991502386', 'application_id': '1526248697057382491', 'version': '1526549016991502387', 'default_member_permissions': None, 'type': 1, 'name': 'latency', 'name_localizations': None, 'description': "Check the bot's Latency.", 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}]
[2026-07-14 18:23:50] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-07-14 18:23:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-xdlt",{"micros":0.0}]']}}
[2026-07-14 18:23:50] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-07-14 18:23:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
